Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
110513625,-0.06,37.83,1.6,96.19,145.9,145.9
110738500,-0.06,38.01,1.6,96.19,145.2,145.2
110963375,-0.06,38.18,1.6,96.19,144.5,144.5
111188250,-0.06,38.18,1.6,96.19,144.5,144.5
111413125,-0.06,38.36,1.6,96.19,143.7,143.7
111638000,-0.06,38.53,1.6,96.19,143.0,143.0
111862875,-0.12,38.71,3.1,48.10,142.3,142.3
112087750,-0.12,38.89,3.0,48.10,141.6,141.6
112312625,-0.12,38.89,3.0,48.10,141.6,141.6
112537500,-0.12,39.06,3.0,48.10,140.9,140.9
112762375,-0.12,39.24,3.0,48.10,140.2,140.2
112987250,-0.12,39.24,3.0,48.10,140.2,140.2
113212125,-0.12,39.41,3.0,48.10,139.5,139.6
113437000,-0.12,39.41,3.0,48.10,139.5,139.6
113661875,-0.12,39.59,2.9,48.10,138.9,138.9
113886750,-0.12,39.77,2.9,48.10,138.2,138.2
114111625,-0.18,39.94,4.3,98.73,137.5,137.5
114336500,-0.12,39.94,2.9,48.10,137.5,137.6
114561375,-0.12,40.12,2.9,48.10,136.9,136.9
114786250,-0.12,40.12,2.9,48.10,136.9,136.9
115011125,-0.12,40.29,2.8,48.10,136.2,136.3
115236000,-0.12,40.47,2.8,48.10,135.6,135.6
115460875,-0.12,40.47,2.8,48.10,135.6,135.6
115685750,-0.12,40.65,2.8,48.10,135.0,135.0
115910625,-0.12,40.82,2.8,48.10,134.3,134.3
116135500,-0.12,40.82,2.8,48.10,134.3,134.3
116360375,-0.18,41.00,4.1,98.73,133.6,133.7
116585250,-0.18,41.17,4.1,98.73,133.0,133.1
116810125,-0.18,41.17,4.1,98.73,133.0,133.1
117035000,-0.18,41.35,4.1,98.73,132.4,132.5
117259875,-0.18,41.52,4.0,98.73,131.8,131.8
117484750,-0.18,41.70,4.0,98.73,131.2,131.2
117709625,-0.18,41.88,4.0,98.73,130.6,130.6
117934500,-0.18,42.05,3.9,98.73,130.0,130.0
118159375,-0.18,42.23,3.9,98.73,129.4,129.4
118384250,-0.18,42.23,3.9,98.73,129.4,129.4
118609125,-0.23,42.40,5.2,74.05,128.7,128.8
118834000,-0.23,42.58,5.1,74.05,128.1,128.2
119058875,-0.23,42.76,5.1,74.05,127.6,127.7
119283750,-0.23,42.93,5.0,74.05,127.0,127.1
119508625,-0.23,43.11,5.0,74.05,126.4,126.5
119733500,-0.23,43.28,5.0,74.05,125.8,125.9
119958375,-0.23,43.46,4.9,74.05,125.3,125.4
120183250,-0.29,43.46,6.1,59.24,125.2,125.3
120408125,-0.29,43.64,6.1,59.24,124.6,124.8
120633000,-0.29,43.81,6.1,59.24,124.1,124.2
120857875,-0.29,43.99,6.0,59.24,123.5,123.7
121082750,-0.35,44.16,7.1,49.37,122.9,123.1
121307625,-0.35,44.34,7.1,49.37,122.4,122.6
121532500,-0.35,44.52,7.0,49.37,121.8,122.0
121757375,-0.41,44.69,8.1,42.32,121.2,121.4
121982250,-0.41,44.87,8.1,42.32,120.6,120.9
122207125,-0.41,44.87,8.1,42.32,120.6,120.9
122432000,-0.47,45.04,9.2,37.03,120.0,120.3
122656875,-0.41,45.22,8.0,42.32,119.6,119.9
122881750,-0.53,45.40,10.1,32.92,118.8,119.2
123106625,-0.53,45.40,10.1,32.92,118.8,119.2
123331500,-0.59,45.57,11.2,29.63,118.1,118.7
123556375,-0.59,45.57,11.2,29.63,118.1,118.7
123781250,-0.65,45.57,12.3,26.94,117.9,118.6
124006125,-0.70,45.57,13.4,24.70,117.7,118.5
124231000,-0.65,45.40,12.4,26.94,118.4,119.1
124455875,-0.65,45.40,12.4,26.94,118.4,119.1
124680750,-0.65,45.40,12.4,26.94,118.4,119.1
124905625,-0.70,45.40,13.5,24.70,118.2,119.0
125130500,-0.70,45.22,13.6,24.70,118.7,119.5
125355375,-0.70,45.22,13.6,24.70,118.7,119.5
125580250,-0.70,45.22,13.6,24.70,118.7,119.5
125805125,-0.65,45.22,12.5,26.94,118.9,119.6
126030000,-0.65,45.22,12.5,26.94,118.9,119.6
126254875,-0.65,45.40,12.4,26.94,118.4,119.1
126479750,-0.65,45.40,12.4,26.94,118.4,119.1
126704625,-0.65,45.57,12.3,26.94,117.9,118.6
126929500,-0.65,45.75,12.2,26.94,117.4,118.1
127154375,-0.65,46.10,12.0,26.94,116.5,117.1
127379250,-0.65,46.28,11.9,26.94,116.0,116.6
127604125,-0.65,46.63,11.8,26.94,115.0,115.6
127829000,-0.70,46.80,12.7,24.70,114.3,115.0
128053875,-0.70,47.16,12.5,24.70,113.4,114.1
128278750,-0.76,47.51,13.4,22.80,112.3,113.1
128503625,-0.76,47.86,13.2,22.80,111.4,112.1
128728500,-0.82,48.04,14.1,21.17,110.7,111.6
128953375,-0.88,48.39,14.9,19.76,109.6,110.6
129178250,-0.94,48.74,15.6,18.53,108.5,109.6
129403125,-1.06,48.91,17.4,16.48,107.6,109.0
129628000,-1.11,48.91,18.3,15.61,107.4,108.9
129852875,-1.23,49.09,20.0,14.13,106.4,108.2
130077750,-1.29,49.09,20.9,13.49,106.1,108.1
130302625,-1.41,48.91,22.9,12.37,105.9,108.3
130527500,-1.47,48.56,24.1,11.88,106.3,109.0
130752375,-1.58,48.21,26.2,11.00,106.4,109.6
130977250,-1.64,47.86,27.4,10.61,106.9,110.3
131202125,-1.64,47.51,27.8,10.61,107.7,111.2
131427000,-1.70,46.98,29.2,10.25,108.5,112.4
131651875,-1.76,46.63,30.5,9.91,108.9,113.1
131876750,-1.76,46.10,31.2,9.91,110.1,114.4
132101625,-1.76,45.75,31.6,9.91,111.0,115.4
132326500,-1.82,45.22,33.2,9.59,111.7,116.6
132551375,-1.82,44.87,33.7,9.59,112.6,117.5
132776250,-1.82,44.52,34.1,9.59,113.5,118.5
133001125,-1.88,43.99,35.8,9.29,114.2,119.7
133226000,-1.88,43.46,36.6,9.29,115.6,121.2
133450875,-1.82,43.11,36.1,9.59,117.0,122.5
133675750,-1.88,42.58,37.9,9.29,117.8,123.8
133900625,-1.82,42.05,37.7,9.59,119.8,125.6
134125500,-1.82,41.52,38.6,9.59,121.3,127.3
134350375,-1.82,41.17,39.2,9.59,122.2,128.4
134575250,-1.76,40.65,38.9,9.91,124.4,130.3
134800125,-1.64,40.12,37.6,10.61,127.2,132.7
135025000,-1.70,39.77,39.3,10.25,127.6,133.6
135249875,-1.64,39.24,39.1,10.61,129.9,135.7
135474750,-1.58,38.89,38.5,11.00,131.7,137.2
135699625,-1.47,38.53,36.5,11.88,134.2,139.1
135924500,-1.41,38.18,35.8,12.37,136.1,140.7
136149375,-1.35,37.83,35.1,12.90,138.0,142.4
136374250,-1.29,37.48,34.3,13.49,139.9,144.0
136599125,-1.17,37.13,32.0,14.83,142.5,146.0
136824000,-1.11,36.95,30.8,15.61,143.8,147.0
137048875,-1.06,36.77,29.5,16.48,145.0,148.0
137273750,-0.88,36.60,25.1,19.76,147.4,149.5
137498625,-0.82,36.60,23.5,21.17,147.8,149.7
137723500,-0.70,36.60,20.2,24.70,148.7,150.1
137948375,-0.59,36.77,16.8,29.63,148.7,149.7
138173250,-0.53,36.95,15.0,32.92,148.3,149.0
138398125,-0.41,37.13,11.6,42.32,148.1,148.5
138623000,-0.35,37.65,9.7,49.37,146.1,146.4
138847875,-0.29,38.01,7.9,59.24,144.8,145.0
139072750,-0.23,38.36,6.2,74.05,143.5,143.6
139297625,-0.18,38.89,4.6,98.73,141.5,141.6
139522500,-0.12,39.24,3.0,48.10,140.2,140.2
139747375,-0.12,39.77,2.9,48.10,138.2,138.2
139972250,-0.06,40.12,1.4,96.19,136.9,136.9
140197125,-0.06,40.65,1.4,96.19,135.0,135.0
140422000,-0.06,41.17,1.4,96.19,133.1,133.1
140646875,-0.00,41.52,0.0,?,131.9,131.9
140871750,-0.06,41.88,1.3,96.19,130.7,130.7
141096625,-0.06,42.23,1.3,96.19,129.5,129.5
141321500,-0.06,42.58,1.3,96.19,128.3,128.3
141546375,-0.06,42.93,1.3,96.19,127.1,127.1
141771250,-0.06,43.11,1.3,96.19,126.6,126.6
141996125,-0.06,43.28,1.2,96.19,126.0,126.0
142221000,-0.06,43.64,1.2,96.19,124.9,124.9
142445875,-0.06,43.81,1.2,96.19,124.3,124.3
142670750,-0.06,43.99,1.2,96.19,123.8,123.8
142895625,-0.06,43.99,1.2,96.19,123.8,123.8
143120500,-0.06,44.16,1.2,96.19,123.2,123.2
143345375,-0.06,44.34,1.2,96.19,122.7,122.7
143570250,-0.06,44.52,1.2,96.19,122.2,122.2
143795125,-0.06,44.52,1.2,96.19,122.2,122.2
144020000,-0.06,44.69,1.2,96.19,121.6,121.6
144244875,-0.06,44.87,1.2,96.19,121.1,121.1
144469750,-0.06,45.04,1.2,96.19,120.6,120.6
144694625,-0.00,45.04,0.0,?,120.6,120.6
144919500,-0.00,45.22,0.0,?,120.1,120.1
145144375,-0.00,45.40,0.0,?,119.5,119.5
145369250,-0.00,45.57,0.0,?,119.0,119.0
145594125,-0.00,45.57,0.0,?,119.0,119.0
145819000,-0.00,45.75,0.0,?,118.5,118.5
146043875,-0.00,45.92,0.0,?,118.0,118.0
146268750,-0.00,46.10,0.0,?,117.5,117.5
146493625,-0.00,46.10,0.0,?,117.5,117.5
146718500,-0.00,46.28,0.0,?,117.0,117.0
146943375,0.06,46.45,1.1,96.19,116.5,116.5
147168250,-0.00,46.63,0.0,?,116.0,116.0
147393125,0.06,46.80,1.1,96.19,115.5,115.5
147618000,0.06,46.98,1.1,96.19,115.0,115.0
147842875,0.06,46.98,1.1,96.19,115.0,115.0
148067750,0.06,47.16,1.1,96.19,114.6,114.6
148292625,0.06,47.33,1.0,96.19,114.1,114.1
148517500,0.06,47.51,1.0,96.19,113.6,113.6
148742375,0.06,47.51,1.0,96.19,113.6,113.6
148967250,0.06,47.68,1.0,96.19,113.1,113.1
149192125,0.06,47.86,1.0,96.19,112.7,112.7
149417000,0.06,48.04,1.0,96.19,112.2,112.2
149641875,0.06,48.21,1.0,96.19,111.7,111.7
149866750,0.06,48.21,1.0,96.19,111.7,111.7
150091625,0.06,48.39,1.0,96.19,111.3,111.3
150316500,0.06,48.56,1.0,96.19,110.8,110.8
150541375,0.06,48.56,1.0,96.19,110.8,110.8
150766250,0.06,48.74,1.0,96.19,110.4,110.4
150991125,0.06,48.91,1.0,96.19,109.9,109.9
151216000,0.06,49.09,1.0,96.19,109.5,109.5
151440875,0.06,49.09,1.0,96.19,109.5,109.5
151665750,0.06,49.27,1.0,96.19,109.0,109.0
151890625,0.06,49.44,1.0,96.19,108.6,108.6
152115500,0.06,49.44,1.0,96.19,108.6,108.6
152340375,0.12,49.62,1.9,48.10,108.1,108.2
152565250,0.12,49.79,1.9,48.10,107.7,107.7
152790125,0.06,49.97,0.9,96.19,107.3,107.3
153015000,0.06,49.97,0.9,96.19,107.3,107.3
153239875,0.12,50.15,1.9,48.10,106.8,106.9
153464750,0.12,50.32,1.9,48.10,106.4,106.4
153689625,0.12,50.32,1.9,48.10,106.4,106.4
153914500,0.06,50.50,0.9,96.19,106.0,106.0
154139375,0.06,50.67,0.9,96.19,105.6,105.6
154364250,0.12,50.85,1.8,48.10,105.2,105.2
154589125,0.12,50.85,1.8,48.10,105.2,105.2
154814000,0.06,51.03,0.9,96.19,104.8,104.8
155038875,0.12,51.20,1.8,48.10,104.3,104.3
155263750,0.12,51.20,1.8,48.10,104.3,104.3
155488625,0.12,51.38,1.8,48.10,103.9,103.9
155713500,0.12,51.55,1.8,48.10,103.5,103.5
155938375,0.18,51.73,2.7,98.73,103.1,103.1
156163250,0.18,51.73,2.7,98.73,103.1,103.1
156388125,0.18,51.91,2.6,98.73,102.7,102.7
156613000,0.18,52.08,2.6,98.73,102.3,102.3
156837875,0.18,52.26,2.6,98.73,101.9,101.9
157062750,0.18,52.26,2.6,98.73,101.9,101.9
157287625,0.18,52.43,2.6,98.73,101.5,101.5
157512500,0.18,52.61,2.6,98.73,101.1,101.1
157737375,0.18,52.79,2.6,98.73,100.7,100.7
157962250,0.18,52.79,2.6,98.73,100.7,100.7
158187125,0.18,52.96,2.5,98.73,100.3,100.3
158412000,0.18,53.14,2.5,98.73,99.9,100.0
158636875,0.18,53.14,2.5,98.73,99.9,100.0
158861750,0.18,53.31,2.5,98.73,99.5,99.6
159086625,0.18,53.49,2.5,98.73,99.2,99.2
159311500,0.18,53.67,2.5,98.73,98.8,98.8
159536375,0.18,53.67,2.5,98.73,98.8,98.8
159761250,0.18,53.84,2.5,98.73,98.4,98.4
159986125,0.18,54.02,2.5,98.73,98.0,98.1
160211000,0.23,54.02,3.3,74.05,98.0,98.1
160435875,0.18,54.19,2.4,98.73,97.7,97.7
160660750,0.18,54.37,2.4,98.73,97.3,97.3
160885625,0.23,54.55,3.2,74.05,96.9,97.0
161110500,0.23,54.55,3.2,74.05,96.9,97.0
161335375,0.23,54.72,3.2,74.05,96.5,96.6
161560250,0.23,54.90,3.2,74.05,96.2,96.2
161785125,0.23,54.90,3.2,74.05,96.2,96.2
162010000,0.23,55.07,3.2,74.05,95.8,95.9
162234875,0.23,55.25,3.1,74.05,95.5,95.5
162459750,0.23,55.25,3.1,74.05,95.5,95.5
162684625,0.23,55.43,3.1,74.05,95.1,95.2
162909500,0.23,55.60,3.1,74.05,94.8,94.8
163134375,0.23,55.78,3.1,74.05,94.4,94.5
163359250,0.23,55.78,3.1,74.05,94.4,94.5
163584125,0.23,55.95,3.1,74.05,94.1,94.1
163809000,0.23,56.13,3.0,74.05,93.7,93.8
164033875,0.23,56.13,3.0,74.05,93.7,93.8
164258750,0.23,56.30,3.0,74.05,93.4,93.4
164483625,0.23,56.48,3.0,74.05,93.0,93.1
164708500,0.23,56.66,3.0,74.05,92.7,92.7
164933375,0.23,56.66,3.0,74.05,92.7,92.7
165158250,0.23,56.83,3.0,74.05,92.3,92.4
165383125,0.23,57.01,3.0,74.05,92.0,92.0
165608000,0.23,57.01,3.0,74.05,92.0,92.0
165832875,0.23,57.18,2.9,74.05,91.7,91.7
166057750,0.23,57.36,2.9,74.05,91.3,91.4
166282625,0.23,57.54,2.9,74.05,91.0,91.0
166507500,0.23,57.54,2.9,74.05,91.0,91.0
166732375,0.23,57.71,2.9,74.05,90.7,90.7
166957250,0.23,57.89,2.9,74.05,90.3,90.4
167182125,0.23,58.06,2.9,74.05,90.0,90.1
167407000,0.23,58.06,2.9,74.05,90.0,90.1
167631875,0.23,58.24,2.8,74.05,89.7,89.7
167856750,0.23,58.42,2.8,74.05,89.4,89.4
168081625,0.23,58.42,2.8,74.05,89.4,89.4
168306500,0.23,58.59,2.8,74.05,89.0,89.1
168531375,0.23,58.77,2.8,74.05,88.7,88.8
168756250,0.23,58.77,2.8,74.05,88.7,88.8
168981125,0.23,58.94,2.8,74.05,88.4,88.5
169206000,0.23,59.12,2.8,74.05,88.1,88.1
169430875,0.23,59.30,2.8,74.05,87.8,87.8
169655750,0.23,59.30,2.8,74.05,87.8,87.8
169880625,0.23,59.47,2.7,74.05,87.5,87.5
170105500,0.23,59.65,2.7,74.05,87.2,87.2
170330375,0.29,59.65,3.4,59.24,87.1,87.2
170555250,0.29,59.82,3.4,59.24,86.8,86.9
170780125,0.29,60.00,3.4,59.24,86.5,86.6
171005000,0.29,60.00,3.4,59.24,86.5,86.6
171229875,0.29,60.18,3.4,59.24,86.2,86.3
171454750,0.29,60.35,3.3,59.24,85.9,86.0
171679625,0.29,60.35,3.3,59.24,85.9,86.0
171904500,0.29,60.53,3.3,59.24,85.6,85.7
172129375,0.29,60.70,3.3,59.24,85.3,85.4
172354250,0.29,60.88,3.3,59.24,85.0,85.1
172579125,0.29,60.88,3.3,59.24,85.0,85.1
172804000,0.29,61.06,3.3,59.24,84.7,84.8
173028875,0.29,61.23,3.3,59.24,84.4,84.5
173253750,0.29,61.41,3.2,59.24,84.1,84.2
173478625,0.29,61.41,3.2,59.24,84.1,84.2
173703500,0.29,61.58,3.2,59.24,83.8,83.9
173928375,0.29,61.76,3.2,59.24,83.5,83.6
174153250,0.29,61.94,3.2,59.24,83.2,83.3
174378125,0.29,61.94,3.2,59.24,83.2,83.3
174603000,0.29,62.11,3.2,59.24,82.9,83.0
174827875,0.29,62.29,3.2,59.24,82.7,82.7
175052750,0.29,62.46,3.1,59.24,82.4,82.4
175277625,0.29,62.64,3.1,59.24,82.1,82.1
175502500,0.29,62.64,3.1,59.24,82.1,82.1
175727375,0.29,62.82,3.1,59.24,81.8,81.9
175952250,0.29,62.99,3.1,59.24,81.5,81.6
176177125,0.29,63.17,3.1,59.24,81.2,81.3
176402000,0.29,63.17,3.1,59.24,81.2,81.3
176626875,0.29,63.34,3.1,59.24,81.0,81.0
176851750,0.29,63.52,3.0,59.24,80.7,80.7
177076625,0.35,63.70,3.6,49.37,80.4,80.5
177301500,0.35,63.87,3.6,49.37,80.1,80.2
177526375,0.35,63.87,3.6,49.37,80.1,80.2
177751250,0.35,64.05,3.6,49.37,79.8,79.9
177976125,0.35,64.22,3.6,49.37,79.6,79.6
178201000,0.35,64.40,3.6,49.37,79.3,79.4
178425875,0.35,64.57,3.5,49.37,79.0,79.1
178650750,0.35,64.75,3.5,49.37,78.7,78.8
178875625,0.35,64.75,3.5,49.37,78.7,78.8
179100500,0.35,64.93,3.5,49.37,78.5,78.6
179325375,0.35,65.10,3.5,49.37,78.2,78.3
179550250,0.35,65.28,3.5,49.37,78.0,78.0
179775125,0.41,65.28,4.1,42.32,77.9,78.0
